,compound name,smile formula,EI99,Recipe,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
20,acetone cyanohydrin,CC(C)(O)C#N,0.007232666,0.070007689,-1.916669408,0.684327884,-0.621847381,1.159525245,-0.713646375,-1.331550337,-1.984456804,1.331256026,-2.599504626,-1.370594395,4.567958799,0.674527699,2.427630747,3.126337886,-1.89102876,-0.161462329,0.195468527,1.146128605,-0.003568459,-0.362864824,-0.228852778,-1.473193964,-0.135854896,0.927965876,0.027183562,1.22398241,0.093949264,-0.439131366
14,4-tert-butyltoluene,Cc1ccc(cc1)C(C)(C)C,0.007230874,0.043661847,3.252861171,-5.499835362,-0.352342338,-2.169459174,-0.804370203,-0.45011694,1.919124715,-1.308867664,-2.667055814,2.139760556,0.746079619,0.522322922,-1.625405672,1.598374728,-0.665437455,-0.132347937,-3.082164802,-0.696625671,0.624304261,1.132265255,-1.156579689,1.057534422,-1.209337907,-0.451707841,0.062163133,-0.881075231,-0.230951258,1.065608768
176,propylene glycol,CC(O)CO,0.021734028,0.0860673,-2.733135024,2.752623095,-0.903456104,-1.19287937,-0.740768188,-1.912301428,-0.426407088,2.041074843,0.537162158,-1.696099599,0.595051925,-0.880235446,-2.096734691,0.877367146,0.282722209,-1.046745285,-0.59670972,0.315503063,0.296134216,-0.337038425,-0.672355836,-0.722555648,-0.405763662,0.041870717,0.077022308,0.019977394,-0.423428214,0.4228572
86,dimethylamine,CNC,0.01187143,0.047427702,-1.308161554,1.742813081,-0.975617064,-0.440112801,1.170281641,1.037860575,0.105215798,-1.95397639,-0.310996795,-0.418329443,-0.072172361,-1.479148901,1.481282573,-0.776396357,0.4074135,-2.4677196,1.464424317,1.212435015,-0.680047704,-0.657649251,-0.025594753,0.017167644,-0.654612618,0.866699203,-1.33755987,-0.027616217,-0.534236511,1.186802882
22,acetyl chloride,CC(Cl)=O,0.031620738,0.14297308,-3.687070392,0.21454769,0.735221311,0.467067157,-0.045397686,0.507012799,-0.629730094,-1.311938093,0.523260071,-0.227117014,-0.310416248,-0.020247245,0.379021075,-1.196978471,-1.361634915,-1.425816014,0.30898163,1.437466395,-0.704352187,-0.415637814,-0.020091913,0.214883909,0.010813042,0.121165848,0.080467298,0.465503705,-0.285880716,1.343905749
165,phosphorous chloride,ClP(Cl)Cl,0.02714003,0.083976088,-3.099756943,-2.365240792,5.183085814,1.291348437,0.402484335,-1.971403744,-2.29611148,-0.154258605,0.814947804,0.509025485,0.394630638,-0.858259531,-1.246282364,-2.063742388,-0.109159968,0.327257979,-0.204987797,-0.622278973,1.245696866,-0.210029205,1.550112954,0.535055062,-0.004812139,1.305140737,-1.112174584,0.214553151,0.890269751,-0.510652215
76,diethanolamine,OCCNCCO,0.011148308,0.052841203,0.24952051,4.661194797,-1.54128181,-2.557314838,1.423246415,-3.640184186,0.61661103,1.589098252,0.451055656,-2.781120837,-0.308821035,-2.774055991,-0.845970301,0.731329319,2.012126572,-0.718675408,1.505218497,0.395129264,2.19075429,-0.595278851,0.073891924,-0.306138647,0.984603252,-2.077935086,0.159049182,0.388271813,-0.684077714,-0.680312151
173,propionic acid,CCC(O)=O,0.008889695,0.039171452,-2.354106916,2.581590668,-0.357648662,0.12134796,-1.401271773,0.500155237,-0.784283524,-0.391945669,-0.267091517,1.972780947,0.111683873,-0.005241523,-0.121055396,-0.697835964,-0.594206025,-0.4451011,0.163752956,0.325885733,-0.322512838,-1.450813889,-0.706159458,-0.363534804,-0.094796378,-0.283010558,-0.399876815,-0.341548422,0.352780995,-0.042269592
27,adipic acid,OC(=O)CCCCC(O)=O,0.024604064,0.024604064,3.785609358,5.790426461,0.348613704,-1.48964909,-1.889657019,0.355752549,-0.570706263,-0.701459853,-1.003526727,3.131107269,0.678729284,0.306734353,-0.264589574,-1.560020461,-0.795698945,0.07609739,0.393056701,0.212345711,-0.299500141,-1.606960943,-1.001261603,-0.29949513,0.857468192,-0.977299214,-0.039100116,-0.301251944,0.754504861,-0.304223148
217,triethanolamine,OCCN(CCO)CCO,0.010917699,0.053633774,3.710952463,6.235278231,-1.204638981,-3.352450484,1.058545625,-3.535141414,-0.718942915,2.287046659,-0.150918501,-3.82529934,-0.03462092,-3.250322078,-1.717389469,1.379328089,2.961028512,-0.78855982,1.467018121,0.603761579,0.556716504,0.552341975,-1.183795716,0.427568726,-0.094193486,-0.161960747,-1.666416241,0.154048122,-1.439038755,0.958194769
132,maleic anhydride,O=C1OC(=O)C=C1,0.010272623,0.058088639,-0.513452051,2.65669873,-0.314936591,-0.245614359,0.373792253,5.276256442,-1.512185103,-2.353253806,3.104786556,-1.139798254,-1.300534009,1.805727458,2.553548806,0.355639396,-1.517503327,-0.501558587,-3.211698032,-0.876765158,1.121290668,0.3932419,-0.378625113,-0.718824586,3.005796138,0.458893351,1.367003368,0.541095795,-0.981427822,0.604744535
147,N-methyl-2-pyrrolidone,CN1CCCC1=O,0.041068045,0.16587917,0.038407716,0.472470304,-0.560134566,-2.817601308,4.064166562,3.607362712,-0.018633132,0.667538006,0.32028277,-0.039425516,-0.525772059,-0.359396796,1.545520728,-0.146054752,0.274139181,-2.219462202,1.02012572,1.099245117,-2.575027581,-0.910858959,0.266946446,0.114972588,1.53021375,0.56354238,-0.962984075,-1.084609633,-0.469914335,0.074973907
0,"1,1-difluoroethane",CC(F)F,0.030916965,0.10571136,-4.507220221,0.29360429,1.660033377,1.712958808,-0.887039581,1.735924393,2.279110608,0.126326313,0.587867265,-0.679111242,0.130422089,-0.389303952,0.782048166,-0.034659336,-0.313660578,-1.42890121,-0.079312248,-0.38241074,-1.031508901,-1.255595747,-1.77153819,-1.383336619,1.541922035,0.014137986,0.387106073,-0.068807843,2.124524457,0.207920097
148,"N,N-dimethylformamide",CN(C)C=O,0.015241727,0.055874301,-2.487695973,1.788913656,-0.914635737,-0.053687408,1.299813218,0.82205658,-0.073557436,-1.864457881,0.263733758,-0.179022102,-0.66387371,-1.284202224,1.53195431,-0.231037525,0.446727342,-2.1496271,1.622493223,0.847252279,-0.858183922,-0.225577035,0.056690469,-0.063838182,-0.061923652,0.888253027,-1.18539869,-0.520630134,-0.358041311,0.694029486
153,o-chlorotoluene,Cc1ccccc1Cl,0.012733335,0.053505616,0.531201563,-4.882755025,0.075821128,0.730652415,-0.130073657,-0.341686472,-0.692610984,-1.196194324,-1.161560154,1.579064335,-0.032149434,-1.328361607,-0.842623614,2.190660265,1.170455062,0.727545209,-2.235853787,-0.58147582,-0.737191363,-0.259168899,0.296921417,2.22600748,1.492349202,-0.588692164,0.20706283,-1.639074405,-0.146260977,0.833507817
178,pyrazole,[nH]1cccn1,0.083048922,0.34149506,-2.772656484,-0.458331229,-2.089294232,1.617280179,3.268265907,-1.220674192,1.093951986,-0.597807331,-1.145918036,2.184203925,-2.50601349,-3.335599971,2.357421432,1.33394237,-0.627063672,-2.408011926,0.310342675,0.498992949,2.917121455,1.138444027,0.686284868,0.315992748,-0.127918452,-0.130881208,0.392592427,0.548153151,0.003696148,-0.209614979
