,compound name,smile formula,EI99,Recipe,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
29,allyl chloride,ClCC=C,0.006650541,0.029062823,-4.408053387,-1.668480472,1.401963276,0.157614005,0.096663049,-0.594522529,-1.254437009,-0.727901755,0.113127292,0.626012437,-0.560522752,-1.513792932,-0.261966806,-1.573945571,1.873690878,0.500702251,1.543538203,-1.445033512,-1.132121268,2.240267172,-1.964342171,-0.683645439,0.849085312,-0.638487626,1.071690911,1.977595856,-0.717206181,0.369807428
80,dimethyl ether,COC,0.005995542,0.025907642,-5.376174683,0.28110458,-0.631818156,-1.290724502,-0.208004928,-0.14154993,-0.485797869,-0.578734295,-0.077904947,-0.763540618,-2.195901827,0.131824814,1.3969896,0.555276957,1.387428089,0.733688902,1.006112112,-0.252421503,0.722011994,-0.284480609,-0.433302957,1.01307772,-2.064037448,0.564818431,-0.562826144,0.011273631,0.867892922,-0.595338936
143,methyl-3-methoxypropionate,COCCC(=O)OC,0.010192263,0.052728121,0.836394847,3.703618877,0.062408386,-2.99897363,-1.456323835,1.48901517,-0.961837502,-2.660284607,0.479923012,-4.291244539,-2.521609988,1.174782984,3.169545756,-0.2409639,1.117951609,1.880483176,-1.319780434,0.075360046,0.880473556,0.825833668,-0.836117258,1.076933318,-2.961566162,0.045164725,-0.082931033,0.481227161,0.572223855,-0.786174375
113,formic acid,OC=O,0.01384111,0.063564823,-4.544332452,1.818372708,-0.995403229,1.233135697,-0.50972479,0.299008358,-1.754683841,-0.428882062,0.548056033,0.740752017,-0.608375991,0.070472166,-0.650313252,-0.502100898,-0.371846556,-0.20348536,0.599286164,1.04129548,0.186778643,-0.269557859,0.004012901,-1.155824098,-0.286740307,-0.699846944,0.430953759,-1.104157744,0.575732283,0.574094439
131,lactic acid,CC(O)C(O)=O,0.018921779,0.080585298,-1.371720977,4.335916589,-0.406249339,0.353864233,-1.535458566,-0.202902519,-0.663778254,1.064511572,0.973962137,1.245260903,0.879876966,0.124920012,-0.964414176,0.311040682,-0.68033277,-0.94701064,-1.494685665,-0.661927782,0.392515565,-1.071996754,-0.472676243,-1.041211238,0.689153759,0.105679418,0.586814667,0.396827538,1.424367716,-0.264227295
210,boron trifluoride,FB(F)F,0.042013194,0.059026739,-4.597610177,1.061456499,2.422973693,3.583702252,-1.646252377,2.174823261,1.609712789,0.736703123,-0.03415362,0.129968965,-0.899123853,0.299483648,-0.01039985,0.384732625,-0.276390547,-0.227039793,1.402798919,0.225243924,0.607629409,0.08057868,0.458700181,0.000776901,0.422581984,-0.557403367,-0.398797999,-0.585864365,-0.948452038,-0.402161014
149,naphthalene sulfonic acid,O[S](=O)(=O)c1cccc2ccccc12,0.012950683,0.028899688,8.872513628,-3.459773451,-1.081092589,2.811425856,-0.958134431,4.153127124,0.454016609,0.214619457,1.523971836,0.671122612,-1.940193207,-3.053355464,-2.723562528,3.306919503,0.201966,3.988121422,-0.018610004,4.379470738,0.661333202,0.125927162,1.41445418,-4.084202498,-1.477827483,1.441732954,-0.570769386,-0.926152415,1.691464246,0.427933579
88,dinitrogen tetroxide,[O-][N+](=O)[N+]([O-])=O,0.035023019,0.03404726,-1.790206869,2.824768923,-0.709480368,4.442114097,0.423851799,0.536632103,-1.275195616,-0.078979683,-2.995879148,-1.044558643,0.69069953,1.447817435,-0.310386577,1.204956389,-0.031112392,-0.816461639,-0.485521322,0.640750463,0.619186946,2.051668551,0.854182464,0.803859664,1.763037962,2.259530933,-0.442309506,0.192533331,0.964772519,-0.160957323
74,dichloromethane,ClCCl,0.008112384,0.060702087,-5.279837907,-1.273105867,2.994751786,0.374073142,0.198040289,-1.482048837,-1.787008189,0.214433311,-0.055377343,0.17401632,-0.417651189,-1.254994916,-0.33004816,-2.235501994,2.138209595,0.667889606,1.249596138,-1.1399599,-1.431799526,-0.100623617,-0.834172522,-0.585544623,-0.087736533,0.462357525,3.887009028,0.911493009,-1.260229865,0.506343622
51,butyl acrylate,CCCCOC(=O)C=C,0.016701426,0.084848052,1.649478265,1.015647652,0.227327622,-2.635650712,-1.62682272,1.373686282,0.800863363,-2.81367329,0.250523047,-1.683084199,-0.103437947,0.680225223,1.48741441,-0.345449273,-0.398609966,0.346804342,-1.410077741,-0.400023223,0.094616404,-0.059238456,-0.065406226,-0.965752725,2.012231182,-0.266027951,-0.039374312,0.165731844,-0.324623617,0.54864911
150,nitrobenzene,[O-][N+](=O)c1ccccc1,0.020664083,0.065910946,2.60492955,-1.454102945,-3.532423452,4.841393122,0.529196615,2.09449728,-1.351528976,-1.61689941,-4.129616178,-1.797498198,-1.641143832,1.685243986,-3.112294307,-0.440794593,1.069694605,-0.774680848,0.880560881,-0.010402138,0.420087815,-0.540117407,-0.294898914,-0.745283732,-0.128576185,0.266821587,-1.1660291,1.098556053,-0.466643307,-0.244912236
104,ethylene dichloride,ClCCCl,0.009585182,0.025460029,-4.175410049,-1.191092476,3.240420306,-0.340995545,0.462186442,-1.333687849,-1.457277451,-0.201457516,-0.123570483,-0.148533127,-0.621536989,-1.749613019,-0.140861671,-2.271969078,2.780431747,0.805905776,2.041370945,-1.155463032,-1.150979786,-0.325780866,-0.850239794,-0.074287465,0.740215472,0.625943374,3.370782674,1.170057141,-0.969607041,0.420720741
130,isopropylamine,CC(C)N,0.015519383,0.070315837,-4.278225562,-0.08744105,-1.120329739,-0.594038213,0.696379088,-1.842898869,1.745490471,-0.000177551,0.871127361,0.701086979,1.020528296,0.729734535,-0.940088176,-0.533255838,-0.506208135,1.874713334,0.096580733,1.426151927,-0.643039935,-0.489947559,-0.464426073,1.087084067,0.116339428,-0.292117873,0.409605348,0.554525221,0.646217468,-0.31305445
